tahun,jenis_api,nilai_produksi,jumlah_hari,pelabuhan_kedatangan_id,pelabuhan_keberangkatan_id,kelas_pelabuhan,provinsi,tanggal_berangkat,tanggal_kedatangan,nama_ikan_id,berat
2018,Bouke ami,416000,80,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-10-16,2018-01-03,Kembung Lelaki,32
2018,Jala jatuh berkapal,121187000,163,PPN. Kejawanan,PPN. Kejawanan,PPN,Jawa Barat,2017-07-25,2018-01-03,Cumi-Cumi,2395
2018,Jala jatuh berkapal,93205000,163,PPN. Kejawanan,PPN. Kejawanan,PPN,Jawa Barat,2017-07-25,2018-01-03,Cumi-Cumi,2663
2018,Bouke ami,62792000,80,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-10-16,2018-01-03,Cumi-Cumi,2672
2018,Bouke ami,3780000,141,PPN. Kejawanan,PPN. Kejawanan,PPN,Jawa Barat,2017-08-17,2018-01-04,Cumi-Cumi,108
2018,Jaring insang hanyut,216000,12,PPN. Pekalongan,PPN. Pekalongan,PPN,Jawa Tengah,2018-10-24,2018-11-04,Kembung Lelaki,24
2018,Bouke ami,2020711000,141,PPN. Kejawanan,PPN. Kejawanan,PPN,Jawa Barat,2017-08-17,2018-01-04,Cumi-Cumi,39935
2018,Jaring insang berlapis,440000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-04,2018-01-05,Kembung Perempuan [RAB],22
2018,Bouke ami,54003000,54,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-11-13,2018-01-05,Cumi-Cumi,2298
2018,Jala jatuh berkapal,121518500,84,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-10-14,2018-01-05,Cumi-Cumi,5171
2018,Jaring insang berlapis,440000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-06,2018-01-07,Kembung Perempuan [RAB],22
2018,Jaring insang berlapis,560000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-07,2018-01-08,Kembung Perempuan [RAB],28
2018,Bouke ami,2875000,83,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-10-18,2018-01-08,Kembung Perempuan [RAB],230
2018,Bouke ami,60677000,83,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-10-18,2018-01-08,Cumi-Cumi,2582
2018,Bouke ami,131106500,101,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-09-30,2018-01-08,Cumi-Cumi,5579
2018,Jala jatuh berkapal,136511500,98,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-10-03,2018-01-08,Cumi-Cumi,5809
2018,Jaring insang berlapis,600000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-08,2018-01-09,Kembung Perempuan [RAB],30
2018,Bouke ami,2512500,92,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-10-10,2018-01-09,Kembung Perempuan [RAB],201
2018,Bouke ami,177683500,92,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-10-10,2018-01-09,Cumi-Cumi,7561
2018,Jaring insang berlapis,460000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-09,2018-01-10,Kembung Perempuan [RAB],23
2018,Jaring insang berlapis,480000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-10,2018-01-11,Kembung Perempuan [RAB],24
2018,Bouke ami,70210000,81,PPN. Kejawanan,PPN. Kejawanan,PPN,Jawa Barat,2017-10-23,2018-01-11,Cumi-Cumi,2006
2018,Jala jatuh berkapal,94963500,95,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-10-09,2018-01-11,Cumi-Cumi,4041
2018,Bouke ami,902198000,81,PPN. Kejawanan,PPN. Kejawanan,PPN,Jawa Barat,2017-10-23,2018-01-11,Cumi-Cumi,17830
2018,Jaring insang berlapis,380000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-11,2018-01-12,Kembung Perempuan [RAB],19
2018,Bagan perahu,1368000,3,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-10,2018-01-12,Kembung Perempuan [RAB],76
2018,Bouke ami,5612500,88,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-10-17,2018-01-12,Kembung Perempuan [RAB],449
2018,Bouke ami,198716000,88,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-10-17,2018-01-12,Cumi-Cumi,8456
2018,Bagan perahu,320000,3,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-11,2018-01-13,Kembung Perempuan [RAB],32
2018,Bagan perahu,420000,3,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-11,2018-01-13,Kembung Perempuan [RAB],42
2018,Bagan perahu,705000,3,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-11,2018-01-13,Kembung Perempuan [RAB],47
2018,Jaring insang berlapis,1220000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-12,2018-01-13,Kembung Perempuan [RAB],61
2018,Bouke ami,35280000,76,PPN. Kejawanan,PPN. Kejawanan,PPN,Jawa Barat,2017-10-30,2018-01-13,Cumi-Cumi,1008
2018,Bouke ami,227851800,76,PPN. Kejawanan,PPN. Kejawanan,PPN,Jawa Barat,2017-10-30,2018-01-13,Cumi-Cumi,4503
2018,Jaring insang berlapis,720000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-13,2018-01-14,Kembung Perempuan [RAB],36
2018,Bagan perahu,620000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-13,2018-01-14,Kembung Perempuan [RAB],62
